Trial,KK,Repeated Random,Hill Climbing,Simulated Annealing,Repeated Random PP,Hill Climbing PP,Simulated Annealing PP
1,907977,331558341,478967413,193094795,23,1207,873
2,53662,420933370,729143628,77697012,96,400,174
3,50933,516853879,243682599,956715553,307,131,61
4,54312,49800474,426045838,2904436,584,72,12
5,548731,3533377,710285287,326108341,481,381,671
6,166540,127146718,195834560,927737440,4,6600,48
7,71401,8443801,92244831,22987853,263,315,305
8,5431,109057269,526901613,216512459,293,171,165
9,50507,163137175,298122477,419527471,29,447,631
10,25690,568001480,320654244,557863964,52,162,158
11,71282,8472846,211006388,252907324,54,40,488
12,209274,177805378,4127882,96489166,34,1838,26
13,5451,252644611,124013203,219051675,465,177,71
14,57390,260028834,459722824,153400308,70,96,184
15,206107,329312879,113696407,695057729,485,13,41
16,239878,564526414,135850286,651272618,132,458,512
17,330977,350329623,52543063,190917021,139,835,459
18,59249,683718955,1178985,891632799,3,129,589
19,60503,328995543,316567519,519085749,77,1813,131
20,431750,301897958,251305546,226757682,114,1376,1048
21,92899,78161351,21720007,553577055,215,401,119
22,522285,196519721,553253489,339153329,545,163,785
23,104615,29455129,97866029,42099329,497,4829,327
24,975988,907400976,132304340,539276784,42,366,660
25,161053,372311837,503726977,500928823,29,93,101
26,67727,136905149,91147357,212766171,65,111,51
27,185070,324955370,55537024,33146558,52,0,238
28,110631,18631835,9651641,1063788309,193,1723,2255
29,72733,369740677,531360581,359230585,35,923,37
30,190844,72371662,74817586,329930048,546,414,698
31,30417,56357765,52498055,181017329,561,93,43
32,291123,480116353,47625395,283676009,35,807,121
33,90614,12557862,524432322,86137948,18,2438,616
34,249598,589567674,107724164,123604238,174,24,80
35,125237,70963179,450937473,321698885,643,273,399
36,17305,456094239,333029815,284246461,69,199,111
37,508683,1106897465,44637113,64318519,391,835,225
38,556202,17895204,130415386,54881322,286,3586,58
39,91313,68970851,44016089,326787997,421,233,479
40,110876,215163076,477856818,445949586,372,218,348
41,89793,240948265,525318037,253985907,255,1241,33
42,162232,333253262,540954516,45531446,6,392,116
43,157182,31816336,180628508,587258654,302,440,70
44,133371,38146731,681994369,41136923,513,2507,65
45,206030,37390938,236901510,158351538,8,182,118
46,752914,258176876,255154092,113757396,438,206,1664
47,210594,196277394,110207740,436392858,36,20,154
48,411683,446400473,280454049,545656647,277,83,109
49,27695,47276011,830869919,130323849,93,289,223
50,559282,306270892,122614040,1143817110,144,292,1160
