Trial,KK,Repeated Random,Hill Climbing,Simulated Annealing,Repeated Random PP,Hill Climbing PP,Simulated Annealing PP,KK Mean,Repeated Random Mean,Hill Climbing Mean,Simulated Annealing Mean,Repeated Random PP Mean,Hill Climbing PP Mean,Simulated Annealing PP Mean
1,1.5269E+04,9.2297E+07,3.2599E+08,3.4130E+08,8.9000E+01,4.5000E+01,8.2100E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
2,7.7338E+04,8.4121E+07,6.6826E+08,2.7678E+12,2.9600E+02,1.0120E+03,3.2600E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
3,1.1203E+05,2.4554E+08,2.7211E+08,2.3554E+12,6.0000E+00,1.5460E+03,2.0000E+00,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
4,8.1003E+04,8.4224E+07,2.4709E+08,1.2565E+08,3.5000E+01,1.2500E+02,6.1100E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
5,3.7228E+05,2.6170E+07,1.0476E+09,2.4529E+12,3.8000E+02,3.3280E+03,4.2200E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
6,1.2562E+06,3.4631E+07,1.1780E+08,1.6020E+12,1.5200E+02,4.3600E+02,1.4380E+03,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
7,8.5595E+05,1.1392E+08,6.8701E+08,3.5500E+12,1.6400E+02,2.1940E+03,2.6000E+01,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
8,1.1060E+04,4.9036E+08,2.4033E+08,6.7468E+07,1.4800E+02,2.9600E+02,4.2000E+01,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
9,4.7816E+04,1.4039E+08,3.6860E+08,1.8312E+12,2.5000E+02,3.3200E+02,2.1200E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
10,3.3936E+05,4.0383E+07,4.2453E+08,2.6042E+11,7.5000E+01,1.5290E+03,6.5000E+01,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
11,8.9918E+04,3.1190E+08,3.3440E+08,7.1082E+11,1.1400E+02,1.9600E+02,5.2600E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
12,1.0189E+05,3.2844E+08,2.5067E+08,1.5048E+08,2.2000E+01,3.1000E+02,4.5000E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
13,1.8042E+05,7.5586E+07,8.3096E+07,1.0534E+09,3.0100E+02,8.4700E+02,8.6300E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
14,7.0068E+05,1.9517E+09,3.9282E+07,6.8730E+08,3.1000E+02,1.1800E+02,4.8000E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
15,4.0577E+05,8.9349E+07,1.2883E+08,5.1888E+08,2.4300E+02,9.9000E+01,1.0000E+00,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
16,6.0978E+05,3.7563E+08,2.0401E+08,1.8722E+08,6.0000E+01,2.2920E+03,8.9600E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
17,3.9164E+04,2.5967E+08,3.6654E+08,4.7549E+11,5.8000E+01,7.0400E+02,4.2000E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
18,1.0526E+04,2.7780E+08,3.9465E+08,2.0562E+11,8.1600E+02,2.3200E+02,3.1660E+03,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
19,3.5846E+05,2.5925E+08,6.8376E+08,3.8172E+07,5.5900E+02,4.1700E+02,8.3000E+01,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
20,8.1528E+04,2.2330E+08,4.6781E+08,1.3321E+12,1.6400E+02,8.6000E+01,3.8000E+01,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
21,1.2118E+05,1.0663E+08,8.8258E+08,1.2051E+11,6.5300E+02,5.3000E+01,1.1000E+01,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
22,4.4672E+04,2.7321E+08,3.9867E+08,1.1607E+08,3.4600E+02,8.8000E+02,1.2000E+01,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
23,4.9547E+04,2.6060E+08,5.9217E+07,1.9418E+12,1.3300E+02,6.6100E+02,3.7100E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
24,3.7817E+04,2.4918E+08,1.7899E+08,1.5786E+12,3.1000E+01,9.7100E+02,3.9900E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
25,1.5693E+05,2.6975E+08,1.3960E+08,7.2783E+07,3.6800E+02,5.5800E+02,5.3400E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
26,3.7676E+05,1.3048E+08,2.7662E+07,8.1614E+10,3.9000E+01,1.7500E+02,6.9000E+01,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
27,8.7432E+04,2.2009E+08,1.1457E+09,7.6135E+11,2.2000E+01,3.7200E+02,4.2000E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
28,9.5367E+04,9.6528E+07,7.5871E+07,5.4164E+08,5.5000E+01,1.3770E+03,2.0900E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
29,9.5827E+05,1.0668E+08,1.4818E+08,1.5887E+08,3.8700E+02,2.3700E+02,2.1700E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
30,2.5586E+05,5.1707E+07,5.2706E+07,4.0350E+11,1.0200E+02,1.9800E+02,1.1520E+03,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
31,2.0241E+04,2.0275E+08,2.5450E+08,1.2058E+12,1.5100E+02,1.1150E+03,9.5300E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
32,8.7144E+04,6.0865E+07,3.8646E+08,7.4584E+07,7.8000E+01,2.6800E+02,3.5800E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
33,3.7411E+04,2.1028E+08,1.9882E+08,6.0480E+06,1.0900E+02,8.8100E+02,5.9000E+01,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
34,4.5029E+05,4.8641E+08,5.8740E+07,1.1530E+12,3.6300E+02,9.6900E+02,1.1000E+01,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
35,5.1998E+05,2.7304E+08,7.7025E+07,1.4598E+12,1.1900E+02,6.8700E+02,8.0100E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
36,1.0024E+06,3.2833E+08,5.3115E+08,6.6771E+11,2.9100E+02,3.8500E+02,4.2900E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
37,2.6817E+04,5.1811E+08,1.5846E+08,2.6764E+12,1.1300E+02,2.9300E+02,4.0700E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
38,6.0440E+03,3.5675E+08,2.0014E+08,4.6254E+07,2.8000E+01,4.2000E+01,3.5800E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
39,1.2156E+04,9.3280E+07,1.7574E+08,6.1372E+11,1.5400E+02,4.7800E+02,5.3800E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
40,2.0252E+05,5.5198E+08,1.1352E+08,2.0969E+08,4.6000E+01,7.2000E+02,2.3400E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
41,2.1161E+04,4.4641E+08,1.6415E+08,4.7513E+07,2.7000E+01,2.4090E+03,2.4700E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
42,4.4796E+05,3.2885E+08,2.1893E+07,6.6456E+11,9.8000E+01,8.4000E+01,1.8000E+01,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
43,3.3886E+05,3.0874E+08,1.4521E+08,1.2108E+09,2.7700E+02,6.7000E+01,5.1500E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
44,1.9766E+04,5.5969E+07,1.9389E+07,4.3879E+08,6.8000E+01,1.3080E+03,2.5600E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
45,2.2385E+05,3.3939E+07,9.9334E+07,2.0046E+08,1.0000E+00,1.0870E+03,5.9100E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
46,1.3878E+05,1.5592E+08,1.8094E+09,6.3943E+11,3.1000E+02,9.5000E+02,2.2400E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
47,4.0279E+05,8.2564E+07,3.2429E+08,1.8769E+12,7.8100E+02,5.6100E+02,1.4900E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
48,1.4166E+05,6.8653E+07,5.9801E+08,7.5487E+08,4.8300E+02,1.4850E+03,9.4500E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
49,3.3202E+05,6.5892E+07,4.6061E+08,1.6803E+12,2.2000E+01,1.6000E+02,2.1824E+06,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
50,5.1903E+05,6.7774E+08,8.0286E+06,6.9003E+11,3.8000E+01,4.2200E+02,1.2000E+02,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
,,,,,,,,,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50
Mean,257621.90,251520149.82,325328153.10,715316467373.46,198.70,719.94,44078.50,,,,,,,
Min,6044,26169742,8028642,6048041,1,42,1,,,,,,,
Max,1256180,1951715984,1809400408,3.54997E+12,816,3328,2182430,,,,,,,
Std Deviation,291141.2392,290269734.5,337141299.8,9.29982E+11,196.2764866,706.2109707,308580.5991,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
25%,45458,85505176,114588014.5,202767981.8,55.75,206.5,92.25,,,,,,,
50%,129982.5,215186258.5,222170566,2.33019E+11,126,457,364.5,,,,,,,
75%,375638.25,311114235.8,397662923,1.30055E+12,299.75,970.5,537,,,,,,,
